2026-03-01 16:02:59.005449 | User: finance | Role: Finance | Query: profit trend | Tool: profit_trend | Status: Allowed
2026-03-01 16:03:09.862372 | User: finance | Role: Finance | Query: units sold | Tool: units_sold_trend | Status: Denied
2026-03-01 16:29:53.153372 | User: finance | Role: Finance | Query: profit trend | Tool: profit_trend | Status: Allowed
2026-03-01 16:39:25.116589 | User: finance | Role: Finance | Query: profit trend | Tool: profit_trend | Status: Allowed
2026-03-01 16:39:41.262312 | User: finance | Role: Finance | Query: units sold | Tool: units_sold_trend | Status: Denied
2026-03-02 09:25:07.276385 | User: admin | Role: Admin | Query: expense trend | Tool: expense_breakdown | Status: Allowed
2026-03-02 09:26:34.367771 | User: finance | Role: Finance | Query: expense | Tool: expense_breakdown | Status: Allowed
2026-03-02 09:30:04.795736 | User: sales | Role: Sales | Query: units sold | Tool: units_sold_trend | Status: Denied
2026-03-02 09:30:56.006716 | User: admin | Role: Admin | Query: units sold  | Tool: units_sold_trend | Status: Allowed
2026-03-02 09:40:24.247678 | User: admin | Role: Admin | Query: sales summary | Tool: sales_summary | Status: Allowed
2026-03-02 09:42:18.369063 | User: admin | Role: Admin | Query: revenue region trend | Tool: region_analysis | Status: Allowed
2026-03-02 09:42:19.497788 | User: admin | Role: Admin | Query: revenue region trend | Tool: region_analysis | Status: Allowed
2026-03-02 10:06:46.024838 | User: admin | Role: Admin | Query: expense trend | Tool: expense_breakdown | Status: Allowed
2026-03-02 10:07:13.736025 | User: admin | Role: Admin | Query: revenue region | Tool: region_analysis | Status: Allowed
2026-03-02 10:11:13.260323 | User: admin | Role: Admin | Query: expense trend | Tool: expense_breakdown | Status: Allowed
